ID,Word List,Category,English,Entity_A,Entity_B,Word_A,Word_B,Raw_Distance,Normalized_Distance,Similarity_Pct,Is_Dhivehi_Pair
SW100-020,Swadesh 100,Descriptives,dry,Male',Addu,Hiki,Hiki,0,0.0,100.0,Yes
SW100-020,Swadesh 100,Descriptives,dry,Male',Sinhala,Hiki,Viyaḻi,4,0.6667,33.33,No
SW100-020,Swadesh 100,Descriptives,dry,Male',Malayalam,Hiki,Uṇaṅṅiya,7,0.875,12.5,No
SW100-020,Swadesh 100,Descriptives,dry,Addu,Sinhala,Hiki,Viyaḻi,4,0.6667,33.33,No
SW100-020,Swadesh 100,Descriptives,dry,Addu,Malayalam,dhalha,Varaṇṭa,5,0.7143,28.57,No
SW100-021,Swadesh 100,Body Parts & Substances,ear,Male',Addu,Kanfai,Kanfah,1,0.1667,83.33,Yes
SW100-021,Swadesh 100,Body Parts & Substances,ear,Male',Huvadhu,Kanfai,Kanahathaa,6,0.6,40.0,Yes
SW100-021,Swadesh 100,Body Parts & Substances,ear,Male',Sinhala,Kanfai,Kana,2,0.3333,66.67,No
SW100-021,Swadesh 100,Body Parts & Substances,ear,Male',Malayalam,Kanfai,Cèvi,5,0.8333,16.67,No
SW100-021,Swadesh 100,Body Parts & Substances,ear,Addu,Huvadhu,Kanfah,Kanahathaa,5,0.5,50.0,Yes
SW100-021,Swadesh 100,Body Parts & Substances,ear,Addu,Sinhala,Kanfah,Kana,2,0.3333,66.67,No
SW100-021,Swadesh 100,Body Parts & Substances,ear,Addu,Malayalam,Kanfah,Kāt,5,0.8333,16.67,No
SW100-021,Swadesh 100,Body Parts & Substances,ear,Huvadhu,Sinhala,Kanahathaa,Kana,6,0.6,40.0,No
SW100-021,Swadesh 100,Body Parts & Substances,ear,Huvadhu,Malayalam,Kanahathaa,Kāt,8,0.8,20.0,No
SW100-022,Swadesh 100,Natural Objects & Phenomena,earth,Male',Addu,Dhuniye,Dhuniye,0,0.0,100.0,Yes
SW100-022,Swadesh 100,Natural Objects & Phenomena,earth,Male',Huvadhu,Dhuniye,Dhuniyea,1,0.125,87.5,Yes
SW100-022,Swadesh 100,Natural Objects & Phenomena,earth,Male',Sinhala,Dhuniye,Pòḻòva,7,1.0,0.0,No
SW100-022,Swadesh 100,Natural Objects & Phenomena,earth,Male',Malayalam,Dhuniye,Bhūmi,5,0.7143,28.57,No
SW100-022,Swadesh 100,Natural Objects & Phenomena,earth,Male',Arabic,Dhuniye,Ard̈a,7,1.0,0.0,No
SW100-022,Swadesh 100,Natural Objects & Phenomena,earth,Addu,Huvadhu,Dhuniye,Dhuniyea,1,0.125,87.5,Yes
SW100-022,Swadesh 100,Natural Objects & Phenomena,earth,Addu,Sinhala,Dhuniye,Pòḻòva,7,1.0,0.0,No
SW100-022,Swadesh 100,Natural Objects & Phenomena,earth,Addu,Malayalam,Dhuniye,Bhūmi,5,0.7143,28.57,No
SW100-022,Swadesh 100,Natural Objects & Phenomena,earth,Addu,Arabic,Dhuniye,Ard̈a,7,1.0,0.0,No
SW100-022,Swadesh 100,Natural Objects & Phenomena,earth,Huvadhu,Sinhala,Dhuniyea,Pòḻòva,7,0.875,12.5,No
SW100-022,Swadesh 100,Natural Objects & Phenomena,earth,Huvadhu,Malayalam,Dhuniyea,Bhūmi,6,0.75,25.0,No
SW100-022,Swadesh 100,Natural Objects & Phenomena,earth,Huvadhu,Arabic,Dhuniyea,Ard̈a,7,0.875,12.5,No
SW100-023,Swadesh 100,Body Sensations & Activities,eat,Male',Addu,Keun,Keun,0,0.0,100.0,Yes
SW100-023,Swadesh 100,Body Sensations & Activities,eat,Male',Sinhala,Keun,Kanavā,5,0.8333,16.67,No
SW100-023,Swadesh 100,Body Sensations & Activities,eat,Male',Malayalam,Keun,Kal̤ikkuka,8,0.8,20.0,No
SW100-023,Swadesh 100,Body Sensations & Activities,eat,Male',Arabic,Keun,Akala,4,0.8,20.0,No
SW100-023,Swadesh 100,Body Sensations & Activities,eat,Addu,Sinhala,Keun,Kanavā,5,0.8333,16.67,No
SW100-023,Swadesh 100,Body Sensations & Activities,eat,Addu,Malayalam,Keun,Kal̤ikkuka,8,0.8,20.0,No
SW100-023,Swadesh 100,Body Sensations & Activities,eat,Addu,Arabic,Keun,Akala,4,0.8,20.0,No
SW100-024,Swadesh 100,Body Parts & Substances,egg,Male',Addu,Bis,Bis,0,0.0,100.0,Yes
SW100-024,Swadesh 100,Body Parts & Substances,egg,Male',Huvadhu,Bis,Bihe,2,0.5,50.0,Yes
SW100-024,Swadesh 100,Body Parts & Substances,egg,Male',Sinhala,Bis,Bittaraya,7,0.7778,22.22,No
SW100-024,Swadesh 100,Body Parts & Substances,egg,Male',Malayalam,Bis,Muṭṭa,5,1.0,0.0,No
SW100-024,Swadesh 100,Body Parts & Substances,egg,Male',Arabic,Bis,Baid̈aha,6,0.75,25.0,No
